Pays,Pays_fr,Annee,Population,Densite(P/Km2),Superficie(Km2),Electricite d'origine fossile(TWh),Electricite d'origine nucleaire(TWh),Electricite d'origine renouvelable(TWh),Electricite d'origine fossile / hab(KWh/pers),Electricite d'origine nucleaire / hab(KWh/pers),Electricite d'origine renouvelable / hab(KWh/pers),Part energie renouvelable(%),Part energie fossile(%),Part autres energies(%),Intensite energetique(MJ/$2017 PIB PPA),Emissions CO2(kt),Croissance PIB(%),PIB/habitant($)
Belgium,Belgique,2005,11692224.0,383.0,30528.0,34.39,47.6,2.11,2.941271053308592,4.071081771953736,0.18046181804248704,2.46,40.891796,56.648204,5.01,110610.0006,2.321737054,36795.97688
Belgium,Belgique,2006,11692224.0,383.0,30528.0,33.46,46.65,2.96,2.8617310102851263,3.9898311903706256,0.2531597068273752,2.82,40.27928,56.90072,4.82,108650.0015,2.552349944,38672.70594
Belgium,Belgique,2007,11692224.0,383.0,30528.0,34.84,48.23,3.49,2.979758170900592,4.124963736582536,0.2984889786579525,3.34,40.249535,56.410465,4.56,104589.9963,3.676881136,44262.896
Belgium,Belgique,2008,11692224.0,383.0,30528.0,32.82,45.57,4.42,2.8069937763765047,3.897462108149827,0.37802902168141833,3.91,39.632893,56.45710699999999,4.68,106930.0003,0.446928735,48106.89292
Belgium,Belgique,2009,11692224.0,383.0,30528.0,37.0,47.22,5.45,3.1644963353421898,4.038581539320492,0.46612175750310636,4.83,41.262405,53.907595,4.58,99669.99817,-2.020743062,44583.54481
Belgium,Belgique,2010,11692224.0,383.0,30528.0,38.39,47.94,6.54,3.2833787652374773,4.100160927467692,0.5593461090037276,6.22,41.337357,52.442643000000004,4.81,106720.0012,2.864292708,44141.87814
Belgium,Belgique,2011,11692224.0,383.0,30528.0,32.51,48.23,8.31,2.7804804287020155,4.124963736582536,0.7107287715322594,6.66,36.507584,56.832415999999995,4.4,96480.00336,1.694513899,47348.52502
Belgium,Belgique,2012,11692224.0,383.0,30528.0,30.62,40.29,10.51,2.6188345348156177,3.445879928403698,0.8988880130931464,7.67,37.607468,54.722532,4.19,95269.99664,0.739217283,44673.11588
Belgium,Belgique,2013,11692224.0,383.0,30528.0,27.37,42.64,11.71,2.3408720188733985,3.646868209161918,1.001520326671812,8.22,33.492419999999996,58.287580000000005,4.34,96589.99634,0.459242193,46744.66254
Belgium,Belgique,2014,11692224.0,383.0,30528.0,25.03,33.7,12.21,2.140739007395,2.8822574730008594,1.0442837906629225,9.13,35.283339999999995,55.58666,4.03,90139.99939,1.578533143,47700.54036
Belgium,Belgique,2015,11692224.0,383.0,30528.0,27.57,26.1,14.45,2.3579774044698425,2.2322528203359773,1.2358641093430984,9.37,40.4727,50.1573,3.94,95129.99725,2.041459009,40991.80814
Belgium,Belgique,2016,11692224.0,383.0,30528.0,26.19,43.52,14.25,2.239950243854377,3.722131905786273,1.2187587237466542,9.2,31.193430000000006,59.60656999999999,4.12,94220.00122,1.266686409,41984.10303
Belgium,Belgique,2017,11692224.0,383.0,30528.0,26.9,42.23,15.8,2.3006743627217543,3.6118021686892074,1.3513254621190973,9.64,31.673140000000004,58.686859999999996,4.04,92720.00122,1.619580278,44089.31009
Belgium,Belgique,2018,11692224.0,383.0,30528.0,27.75,28.6,17.17,2.3733722515066424,2.4460701402915306,1.4684973534547405,10.66,37.744827,51.595173,3.82,93660.00366,1.819203664,47519.5531
Belgium,Belgique,2019,11692224.0,383.0,30528.0,29.32,43.52,19.47,2.50764952843873,3.722131905786273,1.6652092878138496,10.21,31.762535,58.027465,3.87,93010.00214,2.149559681,46591.49161
Bulgaria,Bulgarie,2000,7096256.0,64.0,110879.0,19.79,18.18,2.63,2.7887945417978157,2.5619143390542845,0.3706179709412964,7.97,48.74384,43.28616,9.34,43420.0,4.587225342,1621.242961
Bulgaria,Bulgarie,2001,7096256.0,64.0,110879.0,22.25,19.55,1.65,3.1354562180394843,2.754973890457165,0.23251697796697302,7.24,51.208286,41.551714,9.38,46190.0,3.823703664,1770.913534
